id,lat,lon
53026098,37.8810814,-122.2625663
53026106,37.8819017,-122.2604521
53075885,37.8824802,-122.2661666
53075887,37.8788598,-122.2657529
53080872,37.880855,-122.2603387
53082207,37.8821821,-122.2684131
53091826,37.8777912,-122.2607118
53091828,37.8780291,-122.2588844
53091865,37.8763057,-122.271245
53100225,37.883102,-122.2616749
53107080,37.8769518,-122.2605419
53107081,37.8771936,-122.2587108
53138900,37.8803676,-122.2682083
53147192,37.8865707,-122.2623738
53147299,37.8843371,-122.2627101
53148316,37.8760315,-122.2603538
59794833,37.8776588,-122.264434
258757144,37.8824236,-122.2616781
263569419,37.8754548,-122.2779574
269301299,37.8824219,-122.2616571
339928541,37.8775746,-122.265442
339928542,37.8776533,-122.2656152
339928545,37.8746905,-122.2638397
339928551,37.8763589,-122.262463
420477600,37.8810816,-122.2594716
2010214229,37.8763861,-122.2623334
2010214231,37.876168,-122.2625311
2196215655,37.8768752,-122.2667693
2196215656,37.8769033,-122.2665667
2196215657,37.8770107,-122.2657468
2283661437,37.8741302,-122.2675189
2283661454,37.8760038,-122.2736282
2283661455,37.8760279,-122.2734106
2297665104,37.8804583,-122.2614164
2297686118,37.878293,-122.262869
2297686121,37.8784486,-122.262902
2681821304,37.8786219,-122.2680133
2880800569,37.8766241,-122.2687534
2880800581,37.8765789,-122.2690878
2880800587,37.8765837,-122.2690529
2880800600,37.8766282,-122.2687235
3147008553,37.8784786,-122.2680104
4188788110,37.8768179,-122.2666641
4188788122,37.8786993,-122.2669553
4188788126,37.87864,-122.2668671
4188788133,37.8769532,-122.2666751
4188788140,37.87878,-122.2668824
4188788144,37.876901,-122.2665831
4188788150,37.8768775,-122.2667524
4188788151,37.878721,-122.2667895
4188788152,37.8751589,-122.2601712
4188788154,37.8743438,-122.2654084
4226425316,37.8760067,-122.2736019
4226425317,37.8760256,-122.2734313
4238979926,37.8741115,-122.2675166
4238979951,37.8762961,-122.2713207
4238979952,37.876318,-122.271147
4238979973,37.8785465,-122.2680989
4238979988,37.8802433,-122.2691758
4238980090,37.8803046,-122.2682002
4238980092,37.8803558,-122.2682944
4238980093,37.8803785,-122.2681288
4238980094,37.8804333,-122.2682169
4238980095,37.8804487,-122.2670757
4238980096,37.8805044,-122.2671663
4238980097,37.8805258,-122.2669988
4238980098,37.8805788,-122.2670905
4238980119,37.8821203,-122.268406
4238980123,37.8822716,-122.2672814
4294292315,37.8759652,-122.2603402
4294292318,37.8760974,-122.2603673
4294292319,37.8768892,-122.2605286
4294292321,37.8769406,-122.2606283
4294292322,37.8769626,-122.260458
4294292323,37.8769756,-122.2655844
4294292324,37.8770187,-122.2605561
4294292325,37.8770184,-122.2657021
4294292327,37.8771839,-122.2587745
4294292328,37.8772025,-122.2586418
4294292330,37.8773646,-122.2641258
4294292331,37.8775347,-122.2654947
4294292332,37.8776328,-122.2656125
4294292333,37.8776345,-122.2643935
4294292334,37.8777281,-122.2606982
4294292335,37.8777806,-122.2607924
4294292336,37.8778013,-122.2606329
4294292337,37.8778603,-122.2607263
4294292338,37.8783095,-122.2628725
4294292339,37.8783589,-122.262966
4294292340,37.8783793,-122.2628069
4294292341,37.8784356,-122.2628994
4294292342,37.8785688,-122.2608749
4294292343,37.8786171,-122.260964
4294292344,37.878637,-122.2608084
4294292345,37.8786918,-122.260901
4294292346,37.878791,-122.2657423
4294292347,37.8788497,-122.2658327
4294292348,37.8788703,-122.2656696
4294292349,37.8789237,-122.2657627
4294292350,37.8790155,-122.264551
4294292351,37.8792164,-122.2635119
4294292352,37.8794034,-122.2610542
4294292353,37.8794552,-122.2611724
4294292354,37.8794754,-122.2609901
4294292355,37.8795237,-122.2611084
4294455617,37.8797428,-122.2589329
4295642339,37.880455,-122.2614398
4295642340,37.880502,-122.2615181
4295642341,37.8805875,-122.2659518
4295642342,37.8806508,-122.2660478
4295642344,37.8806728,-122.2658608
4295642346,37.8807357,-122.2659693
4295642347,37.8808871,-122.2636837
4295642350,37.8810729,-122.2626444
4295642355,37.8818866,-122.2615194
4295642357,37.8824176,-122.2661587
4295642361,37.8843938,-122.2627364
4295642362,37.8855719,-122.2626428
4295642367,37.8864734,-122.2624005
7708003327,37.8818428,-122.260446
8417814482,37.8807545,-122.2659716
8417814483,37.8806476,-122.2660759
8417814484,37.880571,-122.2659498
8417814485,37.8806747,-122.2658447
8417814486,37.8807919,-122.2649502
8417814487,37.8808893,-122.2648429
8417814488,37.8808218,-122.2647248
8417814489,37.8807283,-122.2648242
8417814490,37.8807966,-122.2649152
8417814491,37.8808722,-122.2648409
8417814492,37.8808186,-122.2647494
8417814493,37.880747,-122.2648263
8417814494,37.8809415,-122.2638156
8417814495,37.8790804,-122.264638
8417814496,37.8789485,-122.264463
8417814497,37.8781933,-122.2642673
8417814498,37.8773621,-122.2640941
8417814499,37.8778329,-122.264335
8417814500,37.8772224,-122.2642682
8417814501,37.8775157,-122.2628132
8417814502,37.8775414,-122.2626175
8417814503,37.8776162,-122.2627282
8417814504,37.8774448,-122.2626921
8417814507,37.8761444,-122.2625524
8417814508,37.8763907,-122.2624697
8417814509,37.8764079,-122.2623125
9489520632,37.8786137,-122.2609902
9489520633,37.878639,-122.2607931
9951841130,37.8784957,-122.2680108
9951841131,37.8785676,-122.2679265
9951841132,37.8786364,-122.2680136
9951841136,37.8768131,-122.2678205
9951841137,37.8766726,-122.2678048
9992040904,37.8769597,-122.2655766
10556462164,37.8808316,-122.2604236
10556462165,37.8809324,-122.2603501
10696546911,37.8792321,-122.2635135
10696546912,37.8809579,-122.263601
10696546959,37.8843786,-122.265243
10711420925,37.8794033,-122.2622158
10711420926,37.8791367,-122.2630502
10711466912,37.8743612,-122.2654101
10777610299,37.8825169,-122.261586
10777610303,37.8823656,-122.261569
10777610367,37.881021,-122.2625539
10777610370,37.8811475,-122.26258
10777610400,37.8793151,-122.26225
10777610409,37.8793896,-122.2622127
11865812593,37.8791998,-122.2631428
11865812594,37.879221,-122.2629792
11865812608,37.8791629,-122.2634214
11865812609,37.8791413,-122.2635859
11865812613,37.8789636,-122.2644646
11865812615,37.8790742,-122.2646374
11865812619,37.8791459,-122.263052
